"DateTime","Temperature","Dew Point","Relative Humidity"
"2023-12-31 19:51:00",42.98,23.86,46.87
"2024-01-01 06:20:00",39.92,30.79,69.94
"2024-01-01 16:51:00",44.96,29.84,55.54
"2024-01-02 03:51:00",30.92,19.78,63.31
"2024-01-02 15:51:00",42.08,19.71,40.72
"2024-01-03 02:51:00",35.06,23.92,63.87
"2024-01-03 13:51:00",42.98,24.78,48.67
"2024-01-04 00:51:00",39.02,24.8,56.73
"2024-01-04 11:51:00",42.98,26.78,52.84
"2024-01-04 22:51:00",28.94,10.71,46.32
"2024-01-05 09:51:00",30.02,11.79,46.5
"2024-01-05 20:51:00",35.06,17.74,49.24
"2024-01-06 05:51:00",32,17.76,55.66
"2024-01-06 15:10:00",37.04,25.9,64.13
"2024-01-06 18:00:00",35.06,31.95,88.46
"2024-01-06 23:51:00",35.96,33.04,89.15
"2024-01-07 09:35:00",37.04,33.93,88.56
"2024-01-07 13:51:00",37.04,33.03,85.42
"2024-01-07 21:51:00",35.96,24.82,63.99
"2024-01-08 05:51:00",37.04,21.72,53.92
"2024-01-08 14:51:00",44.06,21.69,41.06
"2024-01-09 01:51:00",37.04,25.9,64.13
"2024-01-09 12:27:00",42.98,36.97,79.37
"2024-01-09 18:43:00",51.08,47.98,89.23
"2024-01-09 21:37:00",53.96,51.04,89.96
"2024-01-09 23:55:00",57.02,53.92,89.49
"2024-01-10 03:51:00",55.94,53.02,90.04
"2024-01-10 10:51:00",48.92,29.82,47.84
"2024-01-10 22:51:00",44.96,26.76,48.99
"2024-01-11 09:51:00",42.98,22.78,44.79
"2024-01-11 20:51:00",46.04,27.84,49.16
"2024-01-12 07:51:00",41,26.78,57.03
"2024-01-12 18:51:00",44.96,34.93,68.04
"2024-01-13 02:51:00",51.08,48.9,92.29
"2024-01-13 07:58:00",57.02,53.92,89.49
"2024-01-13 16:51:00",46.04,20.79,36.66
"2024-01-14 03:51:00",33.98,15.75,47.18
"2024-01-14 14:51:00",37.94,18.81,46.03
"2024-01-15 01:51:00",24.98,3.67,39.66
"2024-01-15 12:51:00",28.94,3.65,33.67
"2024-01-15 22:03:00",26.06,19.83,77.28
"2024-01-16 02:17:00",26.06,21.85,84.07
"2024-01-16 05:21:00",26.96,22.93,84.77
"2024-01-16 08:31:00",28.04,24.01,84.84
"2024-01-16 10:55:00",30.02,26.91,88.2
"2024-01-16 13:51:00",30.02,25.99,84.97
"2024-01-16 16:46:00",28.4,24.75,86.15
"2024-01-16 23:51:00",21.92,9.86,59.59
