"DateTime","Temperature","Dew Point","Relative Humidity"
"2019-12-31 19:51:00",44.06,35.85,72.97
"2020-01-03 02:51:00",48.02,34.92,60.61
"2020-01-04 08:02:00",48.02,46.02,92.81
"2020-01-06 00:30:00",33.08,24.85,71.78
"2020-01-07 22:15:00",NaN,NaN,NaN
"2020-01-10 02:51:00",35.06,25.93,69.37
"2020-01-12 01:51:00",60.08,55.9,86.2
"2020-01-13 22:51:00",42.08,36.97,82.17
"2020-01-15 04:02:00",42.98,39.88,88.85
"2020-01-17 05:51:00",24.98,7.83,47.93
"2020-01-18 20:51:00",35.96,33.94,92.42
"2020-01-21 01:51:00",19.4,4.78,52.77
"2020-01-23 10:51:00",41,13.73,32.82
"2020-01-25 11:08:00",41,38.98,92.59
"2020-01-26 17:51:00",44.06,25.86,48.84
"2020-01-29 01:51:00",35.96,17.73,47.51
"2020-01-31 08:51:00",37.94,28.81,69.71
"2020-02-01 21:51:00",41,30.79,67.07
"2020-02-03 16:51:00",55.94,31.82,40.05
"2020-02-05 17:51:00",41,17.71,39
"2020-02-06 20:51:00",37.94,35.92,92.49
"2020-02-08 08:51:00",32,14.85,49.11
"2020-02-10 13:51:00",44.96,39.85,82.38
"2020-02-11 07:58:00",44.96,42.96,92.72
"2020-02-12 23:51:00",37.04,33.93,88.56
"2020-02-13 19:51:00",42.98,32.95,67.8
"2020-02-16 00:51:00",30.2,19.24,63.7
"2020-02-18 07:51:00",39.92,30.79,69.94
"2020-02-20 05:51:00",28.94,10.71,46.32
"2020-02-22 12:51:00",44.06,5.83,20.45
"2020-02-24 19:51:00",48.92,34.92,58.61
"2020-02-26 10:51:00",46.94,44.94,92.78
"2020-02-28 02:51:00",30.92,13.77,48.93
"2020-03-01 09:51:00",32,11.77,42.92
"2020-03-03 15:51:00",50,46.9,89.18
"2020-03-05 05:51:00",39.92,24.8,54.78
"2020-03-06 21:51:00",37.94,31.91,78.94
"2020-03-09 03:51:00",51.08,19.71,28.99
"2020-03-11 13:51:00",53.96,23.86,31.07
"2020-03-13 08:16:00",51.98,49.98,92.94
"2020-03-15 05:51:00",42.98,23.86,46.87
"2020-03-17 04:17:00",42.08,37.89,85.13
"2020-03-19 02:31:00",41,37.89,88.75
"2020-03-20 08:51:00",50,45.99,86.2
"2020-03-22 14:51:00",42.98,10.67,26.55
"2020-03-23 19:09:00",39.02,37.92,95.86
"2020-03-25 15:17:00",44.96,37.85,76.24
"2020-03-27 16:51:00",66.92,21.85,17.91
"2020-03-29 02:51:00",44.96,42.96,92.72
"2020-03-30 11:51:00",46.94,39.83,76.43
"2020-03-31 21:35:00",42.98,34.95,73.38
"2020-04-03 02:51:00",46.04,33.84,62.55
"2020-04-04 19:51:00",48.92,39.81,70.96
"2020-04-07 02:51:00",53.96,17.74,23.95
"2020-04-08 19:51:00",59,41.95,53.39
"2020-04-10 14:51:00",48.92,21.69,34.18
"2020-04-12 21:51:00",57.92,44.85,61.96
"2020-04-13 17:39:00",60.98,60.98,100
"2020-04-15 21:51:00",48.92,15.75,26.48
"2020-04-18 00:51:00",42.98,39.88,88.85
"2020-04-19 21:51:00",57.02,30.74,36.87
"2020-04-22 03:51:00",37.04,15.73,41.78
"2020-04-24 05:51:00",42.98,40.96,92.65
"2020-04-25 22:51:00",50,35.82,58.34
"2020-04-27 13:11:00",46.94,35.83,65.42
"2020-04-29 13:51:00",57.92,44.85,61.96
"2020-04-30 21:23:00",55.94,53.94,93.05
"2020-05-02 03:51:00",53.06,36.9,54.38
"2020-05-04 10:51:00",68,36.95,32.01
"2020-05-06 15:51:00",48.92,42.91,79.86
"2020-05-08 15:51:00",48.02,44.01,86.08
"2020-05-10 10:51:00",53.06,24.76,33.35
"2020-05-12 17:51:00",57.92,14.92,18.31
"2020-05-15 02:51:00",62.96,51.91,67.38
"2020-05-17 05:51:00",55.94,42.87,61.69
"2020-05-19 11:51:00",64.94,32.95,30.39
"2020-05-21 18:51:00",60.08,46.85,61.82
"2020-05-23 09:51:00",64.04,62.04,93.29
"2020-05-24 22:51:00",59,53.01,80.66
"2020-05-26 10:51:00",69.08,58.96,70.32
"2020-05-28 05:51:00",66.02,64.02,93.34
"2020-05-29 16:51:00",80.06,68.02,66.79
"2020-05-31 17:51:00",66.92,30.81,26.01
"2020-06-03 00:51:00",66.92,47.93,50.67
"2020-06-04 20:51:00",75.92,62.94,64.25
"2020-06-06 06:20:00",71.06,69.08,93.48
"2020-06-08 07:51:00",62.06,46.85,57.64
"2020-06-10 14:51:00",82.04,69.1,64.99
"2020-06-12 16:51:00",82.04,54.01,38.09
"2020-06-14 23:51:00",62.06,47.93,60.03
"2020-06-17 05:51:00",60.98,55.9,83.49
"2020-06-18 19:51:00",71.96,66,81.62
"2020-06-20 20:51:00",73.94,64.92,73.55
"2020-06-23 00:51:00",77,64.04,64.38
"2020-06-25 07:51:00",73.04,55,53.31
"2020-06-27 14:51:00",75.92,69.08,79.42
"2020-06-29 13:51:00",86,62.15,44.86
"2020-07-01 13:51:00",71.06,64.02,78.54
"2020-07-03 19:32:00",75.92,73.04,90.83
"2020-07-05 03:51:00",71.96,66.9,84.2
"2020-07-06 20:59:00",71.96,69.98,93.51
"2020-07-08 15:51:00",80.96,70,69.4
"2020-07-10 12:58:00",73.94,71.96,93.56
"2020-07-11 19:51:00",73.94,71.96,93.56
"2020-07-14 03:51:00",71.96,60.04,66.26
"2020-07-15 23:51:00",71.06,62.94,75.63
"2020-07-18 00:51:00",75.92,69.98,81.9
"2020-07-20 08:51:00",84.02,73.98,71.87
"2020-07-22 16:51:00",87.08,72.79,62.58
"2020-07-24 12:51:00",73.94,71.06,90.75
"2020-07-26 17:51:00",89.06,58.06,35.15
"2020-07-29 01:51:00",78.98,62.96,58.08
"2020-07-31 02:51:00",71.06,69.98,96.4
"2020-08-01 23:51:00",77,69.98,79.02
"2020-08-03 21:43:00",71.96,69.98,93.51
"2020-08-05 07:51:00",75.02,69.08,81.83
"2020-08-07 09:32:00",69.08,66.92,92.85
"2020-08-09 07:51:00",73.94,69.98,87.49
"2020-08-11 14:51:00",84.92,72,65.33
"2020-08-13 11:51:00",73.94,71.06,90.75
"2020-08-15 17:51:00",77,60.98,57.81
"2020-08-17 18:51:00",73.94,66,76.36
"2020-08-19 19:51:00",71.06,62.02,73.27
"2020-08-22 05:51:00",73.94,67.98,81.76
"2020-08-24 12:51:00",87.08,69.15,55.3
"2020-08-26 16:51:00",75.02,47.98,38.5
"2020-08-28 19:51:00",75.92,71.06,84.96
"2020-08-30 18:51:00",75.92,48,37.37
"2020-09-01 12:14:00",69.98,68,93.45
"2020-09-02 21:51:00",77,73.04,87.64
"2020-09-04 01:51:00",71.06,69.98,96.4
"2020-09-06 06:51:00",66.02,54.99,67.74
"2020-09-08 09:51:00",73.94,66.9,78.77
"2020-09-10 03:51:00",73.04,71.96,96.43
"2020-09-11 03:18:00",75.02,73.04,93.59
"2020-09-12 17:51:00",68,57.88,70.2
"2020-09-14 15:51:00",75.02,49.98,41.46
"2020-09-16 22:51:00",66.02,55.89,69.98
"2020-09-18 20:51:00",64.04,41.97,44.68
"2020-09-21 03:51:00",51.98,36.9,56.59
"2020-09-23 10:51:00",69.98,47.95,45.63
"2020-09-25 17:51:00",73.04,60.06,63.9
"2020-09-27 05:51:00",69.08,64.92,86.69
"2020-09-28 09:22:00",69.98,66.9,90.04
"2020-09-29 16:51:00",71.06,69.08,93.48
"2020-09-30 16:51:00",68,45.95,45.31
"2020-10-02 23:51:00",57.02,42.85,59.33
"2020-10-05 04:51:00",55.04,47.95,77.17
"2020-10-07 07:51:00",60.98,55,80.81
